,HIGH,CLOSE,OPEN,LOW
2013-05-31,63.14,61.68,62.24,61.67
2013-06-03,63.08,63.03,61.83,61.11
2013-06-04,63.57,62.78,63.25,62.31
2013-06-05,62.94,61.76,62.44,61.6
2013-06-06,62.18,62.17,61.87,61.21
2013-06-07,63.09,62.77,62.58,62.25
2013-06-10,63.48,63.04,63.01,62.74
2013-06-11,62.94,62.16,62.04,61.97
2013-06-12,62.56,61.43,62.51,61.35
2013-06-13,61.91,61.76,61.4,61.03
2013-06-14,62.4,61.86,61.63,61.61
2013-06-17,62.72,61.94,62.62,61.82
2013-06-18,62.25,62.15,61.94,61.62
2013-06-19,62.34,61.74,62.11,61.73
2013-06-20,61.63,60.79,61.33,60.64
2013-06-21,61.38,60.57,60.82,60.07
2013-06-24,60.51,59.95,60.16,59.11
2013-06-25,60.99,60.39,60.32,59.95
2013-06-26,62.12,61.86,60.86,60.79
2013-06-27,63.25,62.32,63.0,62.13
2013-06-28,64.07,63.69,61.88,60.18
2013-07-01,64.59,62.34,63.94,62.2
2013-07-02,63.08,62.63,61.93,61.9
2013-07-03,62.94,62.86,62.46,62.1
2013-07-04,,,,
2013-07-05,63.83,63.65,63.16,63.16
2013-07-08,64.66,63.73,63.9,63.48
2013-07-09,64.28,63.93,63.88,63.4
2013-07-10,63.86,63.61,63.86,63.32
2013-07-11,64.44,63.72,64.2,63.44
2013-07-12,63.83,63.67,63.61,63.49
2013-07-15,63.65,63.35,63.46,63.25
2013-07-16,63.47,62.7,63.14,62.47
2013-07-17,63.67,63.31,62.61,62.57
2013-07-18,63.78,63.33,63.24,62.9
2013-07-19,63.59,63.36,63.25,63.08
2013-07-22,63.57,63.3,63.06,62.84
2013-07-23,63.58,63.19,63.53,63.14
2013-07-24,63.43,62.62,63.3,62.57
2013-07-25,62.89,62.49,62.68,62.2
2013-07-26,62.6,62.54,62.06,62.03
2013-07-29,62.79,62.73,62.25,62.25
2013-07-30,63.1,62.86,62.66,62.64
2013-07-31,63.5,62.93,63.12,62.77
2013-08-01,66.11,65.98,63.31,63.24
2013-08-02,66.61,66.28,65.83,65.41
2013-08-05,66.54,66.41,66.2,66.16
2013-08-06,66.85,66.53,66.33,65.88
2013-08-07,66.24,65.64,66.14,65.61
2013-08-08,66.45,66.05,66.06,65.78
2013-08-09,66.74,66.32,65.95,65.84
2013-08-12,66.6,66.53,66.31,66.05
2013-08-13,66.65,65.82,66.65,65.69
2013-08-14,65.61,64.34,65.53,64.23
2013-08-15,64.0,63.48,63.81,63.16
2013-08-16,64.31,63.66,63.41,63.34
2013-08-19,65.11,64.71,63.7,63.5
2013-08-20,65.71,64.62,64.59,64.31
2013-08-21,64.99,64.13,64.6,64.04
2013-08-22,65.17,64.89,64.21,63.9
2013-08-23,65.22,64.21,65.17,63.9
2013-08-26,64.53,63.94,64.15,63.93
2013-08-27,63.74,62.85,63.31,62.79
2013-08-28,63.7,63.39,62.65,62.63
2013-08-29,63.86,63.48,62.94,62.88
2013-08-30,63.79,62.79,63.71,62.6
2013-09-02,,,,
2013-09-03,64.9,64.32,63.6,63.5
2013-09-04,65.49,65.14,64.3,64.3
2013-09-05,65.57,65.39,65.05,64.74
2013-09-06,65.55,64.97,65.31,64.17
2013-09-09,65.59,65.38,65.14,64.93
2013-09-10,66.98,66.84,66.71,65.96
2013-09-11,67.82,67.59,66.98,66.82
2013-09-12,68.9,68.09,67.96,67.8
2013-09-13,68.14,67.92,67.9,67.19
2013-09-16,68.82,68.18,68.75,67.91
2013-09-17,68.67,68.3,68.18,67.98
2013-09-18,69.85,69.45,67.94,67.93
2013-09-19,70.56,69.49,69.86,68.81
2013-09-20,69.5,69.26,69.2,68.49
2013-09-23,69.55,68.98,69.24,68.04
2013-09-24,69.7,69.44,69.44,69.19
2013-09-25,69.53,68.93,69.43,68.74
2013-09-26,70.49,70.36,69.23,69.15
2013-09-27,75.25,73.63,74.82,73.35
2013-09-30,73.17,72.67,72.3,72.16
2013-10-01,73.25,72.41,73.05,72.02
2013-10-02,72.26,71.9,72.03,71.59
2013-10-03,72.5,71.64,71.89,71.06
2013-10-04,72.35,72.13,71.8,71.32
2013-10-07,71.97,71.32,71.41,71.3
2013-10-08,72.1,70.29,71.46,70.18
2013-10-09,71.47,70.91,70.52,69.96
2013-10-10,73.45,73.44,72.33,71.94
2013-10-11,73.73,73.46,73.47,72.88
2013-10-14,74.17,74.08,72.95,72.78
2013-10-15,74.37,73.71,73.96,73.41
2013-10-16,74.62,74.52,74.06,73.72
2013-10-17,74.65,74.54,74.36,74.08
2013-10-18,75.99,75.9,74.66,74.27
2013-10-21,76.37,76.04,75.89,75.5
2013-10-22,76.49,75.96,75.75,75.52
2013-10-23,75.94,75.57,75.48,75.11
2013-10-24,75.78,75.51,75.67,75.24
2013-10-25,76.36,75.72,75.56,75.35
2013-10-28,75.98,75.56,75.75,75.37
2013-10-29,76.18,75.91,75.78,75.54
2013-10-30,76.89,76.16,76.61,75.95
2013-10-31,76.27,75.76,76.04,75.14
2013-11-01,76.43,76.08,75.9,75.65
2013-11-04,76.54,76.38,76.33,75.63
2013-11-05,77.32,77.2,76.08,75.88
2013-11-06,77.45,76.76,77.31,76.15
2013-11-07,77.3,75.73,77.25,75.66
2013-11-08,77.14,77.1,75.7,75.58
2013-11-11,77.36,77.15,77.3,76.72
2013-11-12,77.26,76.88,77.0,76.4
2013-11-13,77.89,77.83,76.54,76.46
2013-11-14,78.81,78.64,78.31,77.89
2013-11-15,79.28,79.22,78.37,78.25
2013-11-18,79.4,78.59,79.4,78.33
