,NUM_NEG,NUM_NEU,NUM_POS,TW
2013-05-31,0.0,1.0,0.0,1.0
2013-06-01,0.0,2.0,0.0,2.0
2013-06-02,3.0,10.0,1.0,14.0
2013-06-03,7.0,16.0,5.0,28.0
2013-06-04,1.0,16.0,6.0,23.0
2013-06-05,3.0,8.0,2.0,13.0
2013-06-06,3.0,15.0,9.0,27.0
2013-06-07,2.0,4.0,5.0,11.0
2013-06-08,0.0,3.0,3.0,6.0
2013-06-09,0.0,5.0,1.0,6.0
2013-06-10,2.0,16.0,0.0,18.0
2013-06-11,6.0,11.0,2.0,19.0
2013-06-12,0.0,14.0,1.0,15.0
2013-06-13,0.0,15.0,2.0,17.0
2013-06-14,0.0,9.0,2.0,11.0
2013-06-15,0.0,11.0,0.0,11.0
2013-06-16,1.0,2.0,0.0,3.0
2013-06-17,0.0,10.0,3.0,13.0
2013-06-18,0.0,13.0,0.0,13.0
2013-06-19,5.0,4.0,2.0,11.0
2013-06-20,2.0,37.0,1.0,40.0
2013-06-21,1.0,28.0,2.0,31.0
2013-06-22,0.0,6.0,0.0,6.0
2013-06-23,0.0,24.0,0.0,24.0
2013-06-24,1.0,13.0,3.0,17.0
2013-06-25,3.0,20.0,21.0,44.0
2013-06-26,4.0,38.0,7.0,49.0
2013-06-27,36.0,186.0,113.0,335.0
2013-06-28,21.0,78.0,36.0,135.0
2013-06-29,0.0,10.0,3.0,13.0
2013-06-30,1.0,12.0,8.0,21.0
2013-07-01,7.0,44.0,20.0,71.0
2013-07-02,0.0,16.0,4.0,20.0
2013-07-03,0.0,5.0,3.0,8.0
2013-07-04,0.0,10.0,4.0,14.0
2013-07-05,0.0,19.0,2.0,21.0
2013-07-06,0.0,10.0,4.0,14.0
2013-07-07,0.0,7.0,3.0,10.0
2013-07-08,4.0,19.0,3.0,26.0
2013-07-09,1.0,20.0,1.0,22.0
2013-07-10,1.0,26.0,5.0,32.0
2013-07-11,0.0,11.0,8.0,19.0
2013-07-12,0.0,11.0,1.0,12.0
2013-07-13,0.0,2.0,0.0,2.0
2013-07-14,0.0,9.0,0.0,9.0
2013-07-15,0.0,14.0,3.0,17.0
2013-07-16,0.0,17.0,3.0,20.0
2013-07-17,4.0,12.0,12.0,28.0
2013-07-18,1.0,7.0,4.0,12.0
2013-07-19,0.0,10.0,6.0,16.0
2013-07-20,0.0,3.0,3.0,6.0
2013-07-21,1.0,0.0,0.0,1.0
2013-07-22,0.0,8.0,3.0,11.0
2013-07-23,0.0,8.0,3.0,11.0
2013-07-24,2.0,6.0,2.0,10.0
2013-07-25,4.0,22.0,8.0,34.0
2013-07-26,0.0,12.0,4.0,16.0
2013-07-27,0.0,15.0,1.0,16.0
2013-07-28,0.0,1.0,0.0,1.0
2013-07-29,0.0,18.0,5.0,23.0
2013-07-30,0.0,9.0,1.0,10.0
2013-07-31,1.0,9.0,6.0,16.0
2013-08-01,3.0,32.0,27.0,62.0
2013-08-02,1.0,25.0,13.0,39.0
2013-08-03,2.0,5.0,2.0,9.0
2013-08-04,2.0,1.0,35.0,38.0
2013-08-05,0.0,13.0,7.0,20.0
2013-08-06,3.0,10.0,11.0,24.0
2013-08-07,0.0,10.0,4.0,14.0
2013-08-08,1.0,21.0,11.0,33.0
2013-08-09,2.0,18.0,11.0,31.0
2013-08-10,1.0,6.0,1.0,8.0
2013-08-11,1.0,12.0,3.0,16.0
2013-08-12,1.0,20.0,9.0,30.0
2013-08-13,0.0,12.0,6.0,18.0
2013-08-14,4.0,8.0,7.0,19.0
2013-08-15,0.0,9.0,4.0,13.0
2013-08-16,1.0,33.0,6.0,40.0
2013-08-17,0.0,14.0,14.0,28.0
2013-08-18,0.0,4.0,4.0,8.0
2013-08-19,2.0,33.0,12.0,47.0
2013-08-20,3.0,11.0,8.0,22.0
2013-08-21,1.0,7.0,3.0,11.0
2013-08-22,0.0,3.0,8.0,11.0
2013-08-23,0.0,13.0,5.0,18.0
2013-08-24,0.0,0.0,1.0,1.0
2013-08-25,0.0,3.0,0.0,3.0
2013-08-26,4.0,7.0,4.0,15.0
2013-08-27,2.0,12.0,4.0,18.0
2013-08-28,0.0,19.0,1.0,20.0
2013-08-29,3.0,7.0,1.0,11.0
2013-08-30,2.0,18.0,1.0,21.0
2013-08-31,0.0,4.0,1.0,5.0
2013-09-01,0.0,5.0,1.0,6.0
2013-09-02,0.0,2.0,1.0,3.0
2013-09-03,0.0,14.0,10.0,24.0
2013-09-04,1.0,14.0,6.0,21.0
2013-09-05,0.0,23.0,9.0,32.0
2013-09-06,0.0,5.0,3.0,8.0
2013-09-07,0.0,5.0,1.0,6.0
2013-09-08,0.0,1.0,0.0,1.0
2013-09-09,1.0,4.0,5.0,10.0
2013-09-10,256.0,492.0,123.0,871.0
2013-09-11,7.0,74.0,23.0,104.0
2013-09-12,5.0,48.0,11.0,64.0
2013-09-13,1.0,36.0,8.0,45.0
2013-09-14,1.0,8.0,1.0,10.0
2013-09-15,0.0,8.0,4.0,12.0
2013-09-16,2.0,16.0,3.0,21.0
2013-09-17,0.0,25.0,3.0,28.0
2013-09-18,4.0,15.0,7.0,26.0
2013-09-19,6.0,57.0,7.0,70.0
2013-09-20,9.0,38.0,13.0,60.0
2013-09-21,0.0,11.0,4.0,15.0
2013-09-22,2.0,20.0,3.0,25.0
2013-09-23,8.0,85.0,15.0,108.0
2013-09-24,2.0,51.0,12.0,65.0
2013-09-25,3.0,34.0,14.0,51.0
2013-09-26,23.0,336.0,318.0,677.0
2013-09-27,63.0,233.0,195.0,491.0
2013-09-28,1.0,22.0,18.0,41.0
2013-09-29,4.0,6.0,6.0,16.0
2013-09-30,3.0,48.0,8.0,59.0
2013-10-01,2.0,53.0,22.0,77.0
2013-10-02,1.0,32.0,9.0,42.0
2013-10-03,4.0,18.0,13.0,35.0
2013-10-04,3.0,51.0,16.0,70.0
2013-10-05,0.0,14.0,11.0,25.0
2013-10-06,2.0,13.0,2.0,17.0
2013-10-07,3.0,18.0,9.0,30.0
2013-10-08,3.0,28.0,10.0,41.0
2013-10-09,4.0,158.0,79.0,241.0
